positive_alpha,negative_alpha,late_positive_alpha,min_count,candidate_count,coverage,positive_coverage,empirical_all_risk,empirical_plus_risk,empirical_hierarchy_risk,empirical_late_risk,upper_all_risk,upper_plus_risk,upper_hierarchy_risk,upper_late_risk,feasible,test_year
0.0,0.07,0.0,5,27,0.7186887752664023,0.00847457627118644,0.027094184546279917,0.0,0.0,0.0,0.04428259072974167,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.07,0.01,5,27,0.7186887752664023,0.00847457627118644,0.027094184546279917,0.0,0.0,0.0,0.04428259072974167,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.07,0.02,5,27,0.7186887752664023,0.00847457627118644,0.027094184546279917,0.0,0.0,0.0,0.04428259072974167,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.072,0.0,5,27,0.7219381660056386,0.00847457627118644,0.0274764658097195,0.0,0.0,0.0,0.04467530853052126,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.072,0.01,5,27,0.7219381660056386,0.00847457627118644,0.0274764658097195,0.0,0.0,0.0,0.04467530853052126,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.072,0.02,5,27,0.7219381660056386,0.00847457627118644,0.0274764658097195,0.0,0.0,0.0,0.04467530853052126,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.073,0.0,5,27,0.7280546662206718,0.00847457627118644,0.02804988770487886,0.0,0.0,0.0,0.04527561196542213,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.073,0.01,5,27,0.7280546662206718,0.00847457627118644,0.02804988770487886,0.0,0.0,0.0,0.04527561196542213,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.073,0.02,5,27,0.7280546662206718,0.00847457627118644,0.02804988770487886,0.0,0.0,0.0,0.04527561196542213,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.075,0.0,5,27,0.7280546662206718,0.00847457627118644,0.02804988770487886,0.0,0.0,0.0,0.04527561196542213,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.075,0.01,5,27,0.7280546662206718,0.00847457627118644,0.02804988770487886,0.0,0.0,0.0,0.04527561196542213,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.075,0.02,5,27,0.7280546662206718,0.00847457627118644,0.02804988770487886,0.0,0.0,0.0,0.04527561196542213,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.08,0.0,5,27,0.736942705595642,0.00847457627118644,0.02929230181105749,0.0,0.0,0.0,0.04663145701571812,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.08,0.01,5,27,0.736942705595642,0.00847457627118644,0.02929230181105749,0.0,0.0,0.0,0.04663145701571812,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.08,0.02,5,27,0.736942705595642,0.00847457627118644,0.02929230181105749,0.0,0.0,0.0,0.04663145701571812,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.09,0.0,5,27,0.764849237826731,0.00847457627118644,0.035647727815740424,0.0,0.0,0.0,0.05328142409049431,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.09,0.01,5,27,0.764849237826731,0.00847457627118644,0.035647727815740424,0.0,0.0,0.0,0.05328142409049431,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.09,0.02,5,27,0.764849237826731,0.00847457627118644,0.035647727815740424,0.0,0.0,0.0,0.05328142409049431,0.013250139360657956,0.0,0.013250139360657956,True,2024
0.0,0.055,0.0,5,27,0.6927424945342079,0.012232415902140673,0.016050765210899588,0.0,0.0,0.0,0.036097573721736165,0.016529078512788325,0.0,0.016529078512788325,True,2025
0.0,0.055,0.01,5,27,0.6927424945342079,0.012232415902140673,0.016050765210899588,0.0,0.0,0.0,0.036097573721736165,0.016529078512788325,0.0,0.016529078512788325,True,2025
0.0,0.055,0.02,5,27,0.6927424945342079,0.012232415902140673,0.016050765210899588,0.0,0.0,0.0,0.036097573721736165,0.016529078512788325,0.0,0.016529078512788325,True,2025
0.0,0.06,0.0,5,27,0.6979683250679891,0.012232415902140673,0.01685063723137631,0.0,0.0,0.0,0.03698466280671206,0.016529078512788325,0.0,0.016529078512788325,True,2025
0.0,0.06,0.01,5,27,0.6979683250679891,0.012232415902140673,0.01685063723137631,0.0,0.0,0.0,0.03698466280671206,0.016529078512788325,0.0,0.016529078512788325,True,2025
0.0,0.06,0.02,5,27,0.6979683250679891,0.012232415902140673,0.01685063723137631,0.0,0.0,0.0,0.03698466280671206,0.016529078512788325,0.0,0.016529078512788325,True,2025
0.0,0.065,0.0,5,27,0.7037807284167866,0.012232415902140673,0.018290406868234417,0.0,0.0,0.0,0.03857023897465435,0.016529078512788325,0.0,0.016529078512788325,True,2025
